Scientific name,#occurrences
Erophylla sezekorni,386
Meriones unguiculatus,384
Microtus abbreviatus,383
Suncus murinus,382
Phenacodus sp,378
Plecotus townsendii,377
Meriones crassus,374
Leporid sp,373
Leptomeryx sp,372
Chaerephon plicata,371
Calomyscus baluchi,370
Cupidinimus sp,370
Scapanus orarius,369
Peratherium sp,368
Mimomys stehlini,366
Spermophilus columbianus,364
Meriones meridianus,363
Pteronotus personatus,363
Myotis septentrionalis,362
Necromys obscurus,359
Reithrodontomys sp.,359
Anoura geoffroyi,357
Myotis sp.,357
Tamias cinereicollis,355
Oryzomys mexicanus,354
Myopus schisticolor,353
Apodemus uralensis,349
Peromyscus sp,348
Lagostomus maximus,344
Microtus sp,343
Sigmodon ochrognathus,342
Artibeus watsoni,341
Perognathus sp.,341
Reithrodontomys montanus,341
Octodon degus,340
Hyperacrius fertilis,339
Ictidomys tridecemlineatus,339
Prosciurus sp,338
Hypolagus apachensis,337
Auliscomys pictus,336
Nyctinomops macrotis,336
Carnivore sp,335
Equus scotti,335
Sorex merriami,334
Didelphodon vorax,332
Dipodomys nelsoni,332
Marmota caligata,331
Oligoryzomys nigripes,331
Neotoma stephensi,328
Notiosorex dalquesti,328
Tadarida aegyptiaca,327
Bassariscus astutus,325
Callospermophilus lateralis,325
Oligoryzomys fulvescens,325
Sciurus aberti,323
Urocitellus armatus,323
Desmodillus auricularis,322
Glossophaga commissarisi,322
Meriones shawi,322
Pteronotus davyi,322
Dicrostonyx rubricatus,317
Hipposideros calcaratus,317
Peratherium innominatum,317
Sylvilagus aquaticus,316
Eomyid sp,315
Chaetodipus nelsoni,314
Nycteris thebaica,313
Peromyscus zarhynchus,313
Insectivore sp,311
Predicrostonyx hopkinsi,309
Rhogeessa tumida,309
Sorex jacksoni,305
Dipodomys elator,304
Eligmodontia typus,303
Notharctus sp,303
Prosciurus relictus,303
Copemys longidens,299
Ammospermophilus interpres,297
Ovis dalli,296
Sigmodon fulviventer,296
Akodon mimus,294
Lutra canadensis,292
Pedetes capensis,292
Chelemys macronyx,291
Perognathus furlongi,290
Peromyscus gymnotis,290
Scotinomys xerampelinus,290
Lepus sp,289
Sorex bendirii,289
Paramys copei,288
Alticola argentatus,287
Akodon tucumanensis,286
Scotophilus leucogaster,285
Gypsonictops hypoconus,283
Ischyromys sp,283
Myotis vivesi,281
Akodon alterus,280
Bos taurus,280
Meriones libycus,280
Pipistrellus hesperus,280
Ammospermophilus nelsoni,279
Thylamys elegans,279
Cricetulus migratorius,278
Macrocranion junnei,278
Mesogaulus novellus,278
Microtine sp,278
Mirounga angustirostris,278
Tamias ochrogenys,278
Oreolagus nevadensis,274
Protospermophilus kelloggi,274
Sorex ornatus,274
Rattus sp.,273
Dipodomys panamintinus,272
Equus conversidens,271
Pelycodus sp,270
Phyllostomus hastatus,270
Neotoma devia,269
Proechimys cuvieri,269
Cynomys ludovicianus,268
Neacomys spinosus,267
Aselliscus tricuspidatus,265
Lagenorhynchus obliquidens,265
Ictidomys mexicanus,264
Urocitellus elegans,264
Dipodomys deserti,263
Hipposideros galeritus,263
Peratherium knighti,263
Euryoryzomys nitidus,262
Nyctinomops laticaudatus,262
Erethizon dorsata,261
Marmosops noctivagus,261
Scapanus latimanus,261
Arvicanthis niloticus,260
Dipodomys agilis,259
Microtus richardsoni,259
Apodemus sp.,257
Cratogeomys castanops,256
Neotoma sp,256
Artibeus glaucus,255
Akodon lutescens,253
Canis rufus,253
Chaetodipus formosus,253
Peromyscus levipes?,252
Phoca groenlandica,252
Heterocephalus glaber,250
Mictomys virginianus,250
Pediomys elegans,248
Rattus tanezumi,248
Nyctinomops femorosaccus,247
Peromyscus furvus,247
Spermophilus mexicanus,246
Hyopsodus minusculus,245
Peradectes sp,245
Trichosurus vulpecula,245
Mormoops blainvillei,244
Oligoryzomys sp.,241
Plesiadapis tricuspidens,241
Prionotemnus palankarinnicus,241
Dicrostonyx torquatus,240
Dipodomys simulans,240
Microdipodops pallidus,240
Spilogale gracilis,239
Mus indutus,237
Tatera indica,237
Myotis auriculus,235
Oryctolagus cuniculus,235
Peromyscus guatemalensis,235
Reithrodontomys creper,234
Ochotona pallasi,233
Microparamys minutus,232
Tamias siskiyou,232
Xerospermophilus spilosoma,232
Lepus othus,230
Peromyscus melanocarpus,230
Anoura caudifer,229
Dipodomys heermanni,229
Lepus townsendii,229
Oecomys bicolor,229
Myotis keenii,228
Eptesicus furinalis,227
Oryzomys texensis,227
Panthera pardus,227
Proechimys semispinosus,227
Tamias quadrimaculatus,227
Cimexomys minor,226
Sorex ugyunak,226
Menoceras arikarense,225
Scotophilus kuhlii,225
Akodon torques,222
Glossophaga longirostris,222
Neotoma macrotis,222
Phyllotis andium,222
Spermophilus beldingi,222
Otospermophilus variegatus,221
Haplomylus sp,220
Mammuthus primigenius,220
Philander opossum,220
Sylvilagus transitionalis,220
Brachylagus idahoensis,219
Peromyscus melanophrys,219
Felis catus,218
Akodon albiventer,217
Artibeus inopinatus,217
Artibeus schwartzi,217
Dipodomys ingens,217
Microtus chrotorrhinus,217
Molossus sinaloae,217
Rhinolophus megaphyllus,217
Tylomys nudicaudus,217
Artibeus fimbriatus,216
Mormoops megalophylla,216
Spermophilus sp,216
Niviventer coxingi,215
Scenopagus priscus,215
Martes caurina,214
Peromyscus [unknown],214
Chaetodipus californicus,213
Leopardus pardalis,213
Proechimys quadruplicatus,213
Diacodexis sp,212
Mesohippus sp,210
Niviventer culturatus,210
Phyllonycteris poeyi,210
Akodon dolores,209
Neotamias senex,209
Panthera leo,209
Aztlanolagus agilis,207
Homo sapiens,206
Plesiadapis churchilli,206
Cardioderma cor,205
Sciurus griseus,205
Micronycteris megalotis,204
Sorex bairdi,204
Brachyphylla nana,203
Proechimys sp.,203
Spermophilus townsendii,203
Sturnira oporaphilum,202
Gerbillus nanus,201
Plagioctenodon sp,201
Tamias senex,201
Micaelamys namaquensis,200
Ticholeptus zygomaticus,200
Rhinophylla pumilio,199
Pauromys sp,198
Heteromys gaumeri,197
Neotoma pygmaea,197
Tamias canipes,196
Hyopsodus miticulus,195
Merychippus californicus,195
Mesodma hensleighi,195
Phyllotis osilae,195
Spilogale putorius,195
Thylamys pallidior,195
Neotoma phenax,194
Ctenomys sp.,193
Microtus operarius,193
Lambdotherium sp,192
Oryzomys chapmani,192
Dipus sagitta,191
Proechimys kulinae,191
Apheliscus nitidus,190
Mustela nivalis,190
Oryzomys megacephalus,190
Protemnodon otibandus,190
Phocoenoides dalli,189
Hylaeamys megacephalus,188
Kolopsis torus,188
Paradjidaumo sp,187
