Scientific Name,#Occurrences
neotoma stephensi,328
notiosorex dalquesti,328
tadarida aegyptiaca,327
bassariscus astutus,325
callospermophilus lateralis,325
oligoryzomys fulvescens,325
sciurus aberti,323
urocitellus armatus,323
desmodillus auricularis,322
glossophaga commissarisi,322
meriones shawi,322
pteronotus davyi,322
dicrostonyx rubricatus,317
hipposideros calcaratus,317
peratherium innominatum,317
sylvilagus aquaticus,316
eomyid sp,315
chaetodipus nelsoni,314
nycteris thebaica,313
peromyscus zarhynchus,313
insectivore sp,311
predicrostonyx hopkinsi,309
rhogeessa tumida,309
sorex jacksoni,305
dipodomys elator,304
eligmodontia typus,303
notharctus sp,303
prosciurus relictus,303
copemys longidens,299
ammospermophilus interpres,297
ovis dalli,296
sigmodon fulviventer,296
akodon mimus,294
lutra canadensis,292
pedetes capensis,292
chelemys macronyx,291
perognathus furlongi,290
peromyscus gymnotis,290
scotinomys xerampelinus,290
lepus sp,289
sorex bendirii,289
paramys copei,288
alticola argentatus,287
akodon tucumanensis,286
scotophilus leucogaster,285
gypsonictops hypoconus,283
ischyromys sp,283
myotis vivesi,281
akodon alterus,280
bos taurus,280
meriones libycus,280
pipistrellus hesperus,280
ammospermophilus nelsoni,279
thylamys elegans,279
cricetulus migratorius,278
macrocranion junnei,278
mesogaulus novellus,278
microtine sp,278
mirounga angustirostris,278
tamias ochrogenys,278
oreolagus nevadensis,274
protospermophilus kelloggi,274
sorex ornatus,274
rattus sp.,273
dipodomys panamintinus,272
equus conversidens,271
pelycodus sp,270
phyllostomus hastatus,270
neotoma devia,269
proechimys cuvieri,269
cynomys ludovicianus,268
neacomys spinosus,267
aselliscus tricuspidatus,265
lagenorhynchus obliquidens,265
ictidomys mexicanus,264
urocitellus elegans,264
dipodomys deserti,263
hipposideros galeritus,263
peratherium knighti,263
euryoryzomys nitidus,262
nyctinomops laticaudatus,262
erethizon dorsata,261
marmosops noctivagus,261
scapanus latimanus,261
arvicanthis niloticus,260
dipodomys agilis,259
microtus richardsoni,259
apodemus sp.,257
cratogeomys castanops,256
neotoma sp,256
artibeus glaucus,255
akodon lutescens,253
canis rufus,253
chaetodipus formosus,253
peromyscus levipes?,252
phoca groenlandica,252
heterocephalus glaber,250
mictomys virginianus,250
pediomys elegans,248
rattus tanezumi,248
nyctinomops femorosaccus,247
peromyscus furvus,247
spermophilus mexicanus,246
hyopsodus minusculus,245
peradectes sp,245
trichosurus vulpecula,245
mormoops blainvillei,244
oligoryzomys sp.,241
plesiadapis tricuspidens,241
prionotemnus palankarinnicus,241
dicrostonyx torquatus,240
dipodomys simulans,240
microdipodops pallidus,240
spilogale gracilis,239
mus indutus,237
tatera indica,237
myotis auriculus,235
oryctolagus cuniculus,235
peromyscus guatemalensis,235
reithrodontomys creper,234
ochotona pallasi,233
microparamys minutus,232
tamias siskiyou,232
xerospermophilus spilosoma,232
lepus othus,230
peromyscus melanocarpus,230
anoura caudifer,229
